longitude,latitude
-98.9,43.1
-97.5,42.9
-89.4,36.1
-82.8,36.2
-88.0,35.3
-83.9,36.1
-89.4,35.8
-89.5,35.7
-87.3,35.2
-87.4,35.3
-86.3,35.1
-85.9,36.5
-87.9,35.6
-84.7,35.7
-82.2,36.3
-87.0,36.3
-86.4,35.5
-86.3,35.5
-88.6,35.6
-83.2,35.9
-89.7,35.5
-86.2,35.9
-88.0,36.4
-87.8,36.3
-88.7,36.3
-82.4,36.6
-99.1,30.4
-97.4,28.7
-96.7,33.9
-95.8,30.3
-95.8,31.8
-94.5,31.2
-98.6,29.0
-99.1,29.8
-97.7,28.3
-98.4,29.3
-98.2,30.8
-98.2,30.5
-98.5,32.0
-99.7,31.6
-95.5,33.4
-97.5,29.0
-98.2,32.3
-95.3,33.4
-96.2,31.7
-95.0,32.7
-100.1,29.6
-96.3,30.1
-99.4,34.1
-97.7,30.7
-97.7,30.6
-97.8,30.6
-95.2,32.7
-94.6,32.5
-94.4,32.5
-98.0,30.1
-97.3,32.0
-102.4,33.6
-96.2,33.1
-94.0,29.8
-97.4,32.2
-97.8,28.8
-99.3,30.2
-97.9,27.4
-98.0,31.1
-98.1,31.1
-96.9,29.5
-98.1,28.3
-98.5,30.6
-97.3,31.5
-97.4,31.7
-96.9,31.5
-97.0,31.8
-99.2,29.2
-97.0,30.7
-95.8,30.4
-94.6,31.7
-94.5,31.8
-97.7,27.6
-97.6,27.7
-94.8,31.0
-101.8,35.2
-101.8,35.1
-100.0,29.7
-94.9,32.2
-94.6,32.4
-98.7,31.2
-95.2,32.2
-97.7,32.3
-98.5,26.7
-110.3,40.1
-112.3,39.4
-113.7,37.2
-73.3,45.0
-72.6,43.3
-72.5,43.6
-72.5,43.1
-73.1,44.6
-72.6,42.8
-72.4,43.9
-72.9,43.9
-78.9,37.7
-77.0,37.6
-75.9,37.2
-78.2,38.2
-77.7,38.9
-79.2,37.9
-78.9,38.6
-82.2,36.9
-82.1,36.9
-81.7,36.9
-77.5,38.2
-78.1,39.1
-78.3,39.1
-79.9,37.1
-78.2,37.8
-77.5,37.0
-78.3,37.3
-78.0,39.2
-79.1,37.3
-82.0,37.1
-78.9,38.2
-79.9,37.9
-77.7,37.7
-77.7,37.8
-77.5,37.7
-76.7,37.2
-77.2,38.3
-77.2,37.7
-82.9,36.8
-78.3,38.4
-124.4,48.2
-122.7,45.7
-123.2,46.2
-123.8,47.5
-122.5,47.4
-122.5,47.9
-122.5,47.8
-120.8,47.2
