"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-75.70000,41.30000,1662.96,506.87
2,-76.10000,41.30000,1210.37,368.92
3,-76.20000,41.20000,1006.43,306.76
4,-75.80000,41.10000,1269.39,386.91
5,-76.30000,41.30000,1422.54,433.59
6,-76.20000,41.00000,1008.79,307.48
7,-76.90000,41.50000,1502.89,458.08
8,-77.00000,41.40000,1244.72,379.39
9,-77.20000,41.20000,529.10,161.27
10,-76.60000,41.30000,1063.39,324.12
11,-77.40000,41.30000,1466.44,446.97
12,-77.00000,41.50000,1918.77,584.84
13,-77.10000,41.20000,1167.16,355.75
14,-77.30000,41.30000,1764.01,537.67
15,-78.70000,42.00000,2345.70,714.97
16,-78.30000,41.70000,2159.81,658.31
17,-78.60000,41.90000,2116.80,645.20
18,-80.50000,41.20000,846.82,258.11
19,-80.00000,41.50000,1356.92,413.59
20,-80.10000,41.30000,1378.74,420.24
21,-77.60000,40.60000,918.54,279.97
22,-77.70000,40.60000,793.77,241.94
23,-77.60000,40.70000,830.94,253.27
24,-77.70000,40.50000,671.06,204.54
25,-75.20000,41.10000,1068.93,325.81
26,-75.40000,41.10000,1814.50,553.06
27,-75.30000,41.00000,1050.26,320.12
28,-75.30000,41.10000,1072.18,326.80
29,-75.50000,41.10000,1673.52,510.09
30,-75.50000,40.40000,381.40,116.25
31,-76.60000,41.00000,544.16,165.86
32,-75.20000,40.90000,678.84,206.91
33,-76.70000,41.00000,854.46,260.44
34,-76.50000,40.80000,1317.13,401.46
35,-76.70000,40.90000,809.71,246.80
36,-76.40000,40.80000,1124.18,342.65
37,-76.70000,40.80000,842.32,256.74
38,-71.70000,41.50000,109.61,33.41
39,-71.50000,41.70000,141.24,43.05
40,-71.20000,41.50000,29.27,8.92
41,-71.60000,42.00000,289.47,88.23
42,-71.40000,42.00000,196.10,59.77
43,-71.70000,41.90000,487.20,148.50
44,-71.80000,41.90000,441.90,134.69
45,-71.60000,41.90000,579.72,176.70
46,-79.80000,34.30000,144.72,44.11
47,-80.40000,33.00000,28.15,8.58
48,-80.80000,34.40000,341.11,103.97
49,-79.10000,33.60000,2.07,0.63
50,-79.40000,33.50000,15.52,4.73
51,-82.50000,34.70000,916.14,279.24
52,-82.40000,34.80000,937.99,285.90
53,-82.20000,34.60000,767.68,233.99
54,-79.10000,33.80000,26.71,8.14
55,-79.10000,33.90000,62.53,19.06
56,-79.10000,33.70000,18.86,5.75
57,-78.90000,33.90000,45.18,13.77
58,-80.90000,32.30000,14.21,4.33
59,-81.00000,32.30000,7.05,2.15
60,-80.90000,32.20000,35.17,10.72
61,-80.80000,32.40000,-4.79,-1.46
62,-78.90000,34.10000,94.16,28.70
63,-78.70000,34.00000,39.27,11.97
64,-81.10000,32.30000,18.31,5.58
65,-80.60000,34.30000,293.93,89.59
66,-81.10000,34.00000,254.43,77.55
67,-79.30000,33.90000,22.08,6.73
68,-83.00000,34.70000,881.23,268.60
69,-80.90000,33.50000,159.48,48.61
70,-80.90000,34.10000,310.60,94.67
71,-82.00000,35.10000,777.07,236.85
72,-81.90000,35.00000,812.57,247.67
73,-79.70000,33.50000,-9999,-9999
74,-81.00000,34.90000,554.13,168.90
75,-81.00000,35.00000,506.53,154.39
